pokemon_id,move_id,level,order
1,33,1,
1,45,3,
1,73,7,
1,22,9,
1,77,13,1
1,79,13,2
1,36,15,
1,75,19,
1,230,21,
1,74,25,
1,38,27,
1,388,31,
1,235,33,
1,402,37,
2,33,1,1
2,45,1,2
2,73,1,3
2,45,3,
2,73,7,
2,22,9,
2,77,13,1
2,79,13,2
2,36,15,
2,75,20,
2,230,23,
2,74,28,
2,38,31,
2,388,36,
2,235,39,
2,76,44,
3,33,1,1
3,45,1,2
3,73,1,3
3,22,1,4
3,45,3,
3,73,7,
3,22,9,
3,77,13,1
3,79,13,2
3,36,15,
3,75,20,
3,230,23,
3,74,28,
3,38,31,
3,80,32,
3,388,39,
3,235,45,
3,76,53,
4,10,1,1
4,45,1,2
4,52,7,
4,108,10,
4,82,16,
4,184,19,
4,424,25,
4,481,28,
4,163,34,
4,53,37,
4,83,43,
4,517,46,
5,10,1,1
5,45,1,2
5,52,1,3
5,52,7,
5,108,10,
5,82,17,
5,184,21,
5,424,28,
5,481,32,
5,163,39,
5,53,43,
5,83,50,
5,517,54,
6,337,1,1
6,421,1,2
6,403,1,3
6,10,1,4
6,45,1,5
6,52,1,6
6,108,1,7
6,52,7,
6,108,10,
6,82,17,
6,184,21,
6,424,28,
6,481,32,
6,17,36,
6,163,41,
6,53,47,
6,83,56,
6,517,62,
6,257,71,
6,394,77,
7,33,1,
7,39,4,
7,145,7,
7,110,10,
7,55,13,
7,44,16,
7,229,19,
7,182,22,
7,352,25,
7,401,28,
7,130,31,
7,334,34,
7,240,37,
7,56,40,
8,33,1,1
8,39,1,2
8,145,1,3
8,39,4,
8,145,7,
8,110,10,
8,55,13,
8,44,16,
8,229,20,
8,182,24,
8,352,28,
8,401,32,
8,130,36,
8,334,40,
8,240,44,
8,56,48,
9,430,1,1
9,33,1,2
9,39,1,3
9,145,1,4
9,110,1,5
9,39,4,
9,145,7,
9,110,10,
9,55,13,
9,44,16,
9,229,20,
9,182,24,
9,352,28,
9,401,32,
9,130,39,
9,334,46,
9,240,53,
9,56,60,
10,33,1,1
10,81,1,2
10,450,15,
11,106,1,
11,106,7,
12,93,1,
12,93,10,
12,77,12,1
12,78,12,2
12,79,12,3
12,16,16,
12,48,18,
12,18,22,
12,60,24,
12,318,28,
12,366,30,
12,476,34,
12,219,36,
12,445,40,
12,405,42,
12,483,46,
13,40,1,1
13,81,1,2
13,450,15,
14,106,1,
14,106,7,
15,31,1,
15,31,10,
15,116,13,
15,41,16,
15,99,19,
15,228,22,
15,390,25,
15,42,28,
15,97,31
15,372,34
15,398,37
15,283,40
16,33,1
16,28,5
16,16,9
16,98,13
16,18,17
16,239,21
16,297,25
16,97,29
16,17,33
16,355,37
16,366,41
16,119,45
16,403,49,
16,542,53,
17,33,1,1
17,28,1,2
17,16,1,3
17,28,5,
17,16,9,
17,98,13,
17,18,17,
17,239,22,
17,297,27,
17,97,32,
17,17,37,
17,355,42,
17,366,47,
17,119,52,
17,403,57,
17,542,62,
18,33,1,1
18,28,1,2
18,16,1,3
18,98,1,4
18,28,5,
18,16,9,
18,98,13,
18,18,17,
18,239,22,
18,297,27,
18,97,32,
18,17,38,
18,355,44,
18,366,50,
18,119,56,
18,403,62,
18,542,68,
19,33,1,1
19,39,1,2
19,98,4,
19,116,7,
19,44,10,
19,228,13,
19,158,16,
19,389,19,
19,242,22,
19,372,25,
19,162,28,
19,38,31,
19,283,34,
20,14,1,1
20,33,1,2
20,39,1,3
20,98,1,4
20,116,1,5
20,98,4,
20,116,7,
20,44,10,
20,228,13,
20,158,16,
20,389,19,
20,184,20,
20,242,24,
20,372,29,
20,162,34,
20,38,39,
20,283,44,
21,64,1,1
21,45,1,2
21,43,5,
21,31,9,
21,228,13,
21,332,17,
21,119,21,
21,97,25,
21,372,29,
21,355,33,
21,65,37,
22,365,1,1
22,64,1,2
22,45,1,3
22,43,1,4
22,31,1,5
22,43,5,
22,31,9,
22,228,13,
22,332,17,
22,119,23,
22,97,29,
22,372,35,
22,355,41,
22,65,47,
22,529,53,
23,35,1,1
23,43,1,2
23,40,4,
23,44,9,
23,137,12,
23,103,17,
23,51,20,
23,254,25,1
23,256,25,2
23,255,25,3
23,491,28,
23,426,33,
23,380,36,
23,114,41,
23,489,44,
23,441,49,
24,423,1,1
24,422,1,2
24,424,1,3
24,35,1,4
24,43,1,5
24,40,1,6
24,44,1,7
24,40,4,
24,44,9,
24,137,12,
24,103,17,
24,51,20,
24,242,22,
24,254,27,1
24,256,27,2
24,255,27,3
24,491,32,
24,426,39,
24,380,44,
24,114,51,
24,489,56,
24,441,63,
25,45,1,1
25,84,1,2
25,39,5,
25,86,10,
25,98,13,
25,486,18,
25,104,21,
25,21,26,
25,85,29,
25,364,34,
25,97,37,
25,435,42,
25,113,45,
25,87,50,
26,84,1,1
26,39,1,2
26,98,1,3
26,85,1,4
27,10,1,1
27,111,1,2
27,28,3,
27,40,5,
27,205,7,
27,229,9,
27,129,11,
27,210,14,
27,222,17,
27,154,20,
27,328,23,
27,163,26,
27,91,30,
27,360,34,
27,14,38,
27,201,42,
27,89,46,
28,10,1,1
28,111,1,2
28,28,1,3
28,40,1,4
28,28,3,
28,40,5,
28,205,7,
28,229,9,
28,129,11,
28,210,14,
28,222,17,
28,154,20,
28,306,22,
28,328,23,
28,163,26,
28,91,30,
28,360,34,
28,14,38,
28,201,42,
28,89,46,
29,45,1,1
29,10,1,2
29,39,7,
29,24,9,
29,40,13,
29,154,19,
29,44,21,
29,270,25,
29,390,31,
29,260,33,
29,242,37,
